  0%|                                                                       | 0/16200 [00:00<?, ?it/s]/root/miniconda3/lib/python3.12/site-packages/transformers/models/encoder_decoder/modeling_encoder_decoder.py:557: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than tensor.new_tensor(sourceTensor).
  decoder_attention_mask = decoder_input_ids.new_tensor(decoder_input_ids != self.config.pad_token_id)
`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`...
/root/miniconda3/lib/python3.12/site-packages/transformers/models/encoder_decoder/modeling_encoder_decoder.py:577: FutureWarning: Version v4.12.0 introduces a better way to train encoder-decoder models by computing the loss inside the encoder-decoder framework rather than in the decoder itself. You may observe training discrepancies if fine-tuning a model trained with versions anterior to 4.12.0. The decoder_input_ids are now created based on the labels, no need to pass them yourself anymore.
  warnings.warn(DEPRECATION_WARNING, FutureWarning)
                                                                                                      
{'loss': 9.137, 'grad_norm': nan, 'learning_rate': 0.0001999753086419753, 'epoch': 0.0}
{'loss': 9.2604, 'grad_norm': nan, 'learning_rate': 0.00019992592592592593, 'epoch': 0.0}
{'loss': 9.1581, 'grad_norm': 14.184733390808105, 'learning_rate': 0.00019987654320987653, 'epoch': 0.0}
{'loss': 8.3803, 'grad_norm': 20.19847869873047, 'learning_rate': 0.00019981481481481483, 'epoch': 0.0}
{'loss': 6.7109, 'grad_norm': 13.621017456054688, 'learning_rate': 0.0001997530864197531, 'epoch': 0.0}
{'loss': 6.7108, 'grad_norm': 12.727845191955566, 'learning_rate': 0.00019969135802469138, 'epoch': 0.01}
{'loss': 6.792, 'grad_norm': 9.405223846435547, 'learning_rate': 0.00019962962962962963, 'epoch': 0.01}
{'loss': 6.1604, 'grad_norm': 6.607109069824219, 'learning_rate': 0.0001995679012345679, 'epoch': 0.01}
{'loss': 5.8239, 'grad_norm': 11.350926399230957, 'learning_rate': 0.0001995061728395062, 'epoch': 0.01}
{'loss': 5.3312, 'grad_norm': 8.933354377746582, 'learning_rate': 0.00019944444444444445, 'epoch': 0.01}
{'loss': 5.6815, 'grad_norm': 7.667684555053711, 'learning_rate': 0.00019938271604938272, 'epoch': 0.01}
{'loss': 6.3124, 'grad_norm': 14.378418922424316, 'learning_rate': 0.000199320987654321, 'epoch': 0.01}
{'loss': 5.6224, 'grad_norm': 10.910720825195312, 'learning_rate': 0.00019925925925925927, 'epoch': 0.01}
{'loss': 4.969, 'grad_norm': 8.539955139160156, 'learning_rate': 0.00019919753086419754, 'epoch': 0.01}
{'loss': 5.2875, 'grad_norm': 11.089689254760742, 'learning_rate': 0.00019913580246913582, 'epoch': 0.01}
{'loss': 5.2146, 'grad_norm': 14.273775100708008, 'learning_rate': 0.0001990740740740741, 'epoch': 0.01}
{'loss': 4.8776, 'grad_norm': 8.72522258758545, 'learning_rate': 0.00019901234567901234, 'epoch': 0.02}
{'loss': 6.0302, 'grad_norm': 16.939682006835938, 'learning_rate': 0.00019895061728395064, 'epoch': 0.02}
{'loss': 4.3188, 'grad_norm': 10.378087043762207, 'learning_rate': 0.0001988888888888889, 'epoch': 0.02}
{'loss': 5.3184, 'grad_norm': 14.083292007446289, 'learning_rate': 0.00019882716049382716, 'epoch': 0.02}
{'loss': 4.6732, 'grad_norm': 8.79088306427002, 'learning_rate': 0.00019876543209876543, 'epoch': 0.02}
{'loss': 4.8833, 'grad_norm': 15.668684005737305, 'learning_rate': 0.0001987037037037037, 'epoch': 0.02}
{'loss': 4.8443, 'grad_norm': 12.492205619812012, 'learning_rate': 0.00019864197530864198, 'epoch': 0.02}
{'loss': 4.0009, 'grad_norm': 15.561022758483887, 'learning_rate': 0.00019858024691358025, 'epoch': 0.02}
{'loss': 4.351, 'grad_norm': 10.039549827575684, 'learning_rate': 0.00019851851851851853, 'epoch': 0.02}
{'loss': 4.3112, 'grad_norm': 8.429351806640625, 'learning_rate': 0.0001984567901234568, 'epoch': 0.02}
{'loss': 4.804, 'grad_norm': 8.480158805847168, 'learning_rate': 0.00019839506172839507, 'epoch': 0.03}
{'loss': 5.0403, 'grad_norm': 28.315828323364258, 'learning_rate': 0.00019833333333333335, 'epoch': 0.03}
{'loss': 4.6818, 'grad_norm': 13.08845329284668, 'learning_rate': 0.00019827160493827162, 'epoch': 0.03}
{'loss': 4.3975, 'grad_norm': 8.691146850585938, 'learning_rate': 0.0001982098765432099, 'epoch': 0.03}
{'loss': 4.4297, 'grad_norm': 9.04754638671875, 'learning_rate': 0.00019814814814814814, 'epoch': 0.03}
{'loss': 3.5916, 'grad_norm': 8.840506553649902, 'learning_rate': 0.00019808641975308644, 'epoch': 0.03}
{'loss': 3.7984, 'grad_norm': 14.694331169128418, 'learning_rate': 0.00019802469135802472, 'epoch': 0.03}
{'loss': 4.3963, 'grad_norm': 7.947936058044434, 'learning_rate': 0.00019796296296296296, 'epoch': 0.03}
{'loss': 4.1011, 'grad_norm': 10.18507194519043, 'learning_rate': 0.00019790123456790124, 'epoch': 0.03}
{'loss': 4.6658, 'grad_norm': 11.055024147033691, 'learning_rate': 0.0001978395061728395, 'epoch': 0.03}
{'loss': 5.2555, 'grad_norm': 12.476544380187988, 'learning_rate': 0.00019777777777777778, 'epoch': 0.03}
{'loss': 4.2996, 'grad_norm': 9.175044059753418, 'learning_rate': 0.00019771604938271606, 'epoch': 0.04}
{'loss': 4.2114, 'grad_norm': 6.169828414916992, 'learning_rate': 0.00019765432098765433, 'epoch': 0.04}
{'loss': 3.8124, 'grad_norm': 11.920524597167969, 'learning_rate': 0.0001975925925925926, 'epoch': 0.04}
{'loss': 4.0175, 'grad_norm': 8.247503280639648, 'learning_rate': 0.00019753086419753085, 'epoch': 0.04}
{'loss': 3.7564, 'grad_norm': 9.016297340393066, 'learning_rate': 0.00019746913580246915, 'epoch': 0.04}
{'loss': 4.1832, 'grad_norm': 8.508902549743652, 'learning_rate': 0.00019740740740740743, 'epoch': 0.04}
{'loss': 3.7777, 'grad_norm': 10.062039375305176, 'learning_rate': 0.00019734567901234567, 'epoch': 0.04}
{'loss': 3.8242, 'grad_norm': 6.286856174468994, 'learning_rate': 0.00019728395061728395, 'epoch': 0.04}
{'loss': 3.9137, 'grad_norm': 12.333340644836426, 'learning_rate': 0.00019722222222222225, 'epoch': 0.04}
{'loss': 4.252, 'grad_norm': 5.828189373016357, 'learning_rate': 0.0001971604938271605, 'epoch': 0.04}
{'loss': 4.208, 'grad_norm': 9.930990219116211, 'learning_rate': 0.00019709876543209877, 'epoch': 0.04}
{'loss': 4.3429, 'grad_norm': 22.525476455688477, 'learning_rate': 0.00019703703703703704, 'epoch': 0.05}
{'loss': 3.8892, 'grad_norm': 6.162234783172607, 'learning_rate': 0.00019697530864197532, 'epoch': 0.05}
{'loss': 3.6794, 'grad_norm': 15.473274230957031, 'learning_rate': 0.0001969135802469136, 'epoch': 0.05}
{'loss': 3.2995, 'grad_norm': 7.459486961364746, 'learning_rate': 0.00019685185185185186, 'epoch': 0.05}
{'loss': 3.282, 'grad_norm': 40.02542495727539, 'learning_rate': 0.00019679012345679014, 'epoch': 0.05}
{'loss': 3.286, 'grad_norm': 10.269131660461426, 'learning_rate': 0.0001967283950617284, 'epoch': 0.05}
{'loss': 4.1825, 'grad_norm': 7.085021495819092, 'learning_rate': 0.00019666666666666666, 'epoch': 0.05}
{'loss': 3.8125, 'grad_norm': 10.789412498474121, 'learning_rate': 0.00019660493827160496, 'epoch': 0.05}
{'loss': 3.1634, 'grad_norm': 8.905004501342773, 'learning_rate': 0.00019654320987654323, 'epoch': 0.05}
{'loss': 4.5016, 'grad_norm': 14.638284683227539, 'learning_rate': 0.00019648148148148148, 'epoch': 0.05}
{'loss': 4.6524, 'grad_norm': 11.410823822021484, 'learning_rate': 0.00019641975308641975, 'epoch': 0.05}
{'loss': 4.3428, 'grad_norm': 8.316832542419434, 'learning_rate': 0.00019635802469135805, 'epoch': 0.06}
{'loss': 4.0268, 'grad_norm': 8.307538986206055, 'learning_rate': 0.0001962962962962963, 'epoch': 0.06}
{'loss': 3.4429, 'grad_norm': 11.353927612304688, 'learning_rate': 0.00019623456790123457, 'epoch': 0.06}
{'loss': 4.1061, 'grad_norm': 11.493851661682129, 'learning_rate': 0.00019617283950617285, 'epoch': 0.06}
{'loss': 4.1559, 'grad_norm': 5.974112510681152, 'learning_rate': 0.00019611111111111112, 'epoch': 0.06}
{'loss': 4.2979, 'grad_norm': 36.95156478881836, 'learning_rate': 0.0001960493827160494, 'epoch': 0.06}
{'loss': 3.3595, 'grad_norm': 7.375889778137207, 'learning_rate': 0.00019598765432098767, 'epoch': 0.06}
{'loss': 3.7036, 'grad_norm': 11.391109466552734, 'learning_rate': 0.00019592592592592594, 'epoch': 0.06}
{'loss': 3.8963, 'grad_norm': 18.557222366333008, 'learning_rate': 0.0001958641975308642, 'epoch': 0.06}
{'loss': 3.498, 'grad_norm': 8.190902709960938, 'learning_rate': 0.00019580246913580246, 'epoch': 0.06}
{'loss': 3.0155, 'grad_norm': 6.439294815063477, 'learning_rate': 0.00019574074074074077, 'epoch': 0.06}
{'loss': 3.9151, 'grad_norm': 6.267655849456787, 'learning_rate': 0.000195679012345679, 'epoch': 0.07}
{'loss': 3.6747, 'grad_norm': 6.554978847503662, 'learning_rate': 0.00019561728395061729, 'epoch': 0.07}
{'loss': 3.174, 'grad_norm': 11.546006202697754, 'learning_rate': 0.00019555555555555556, 'epoch': 0.07}
{'loss': 4.1563, 'grad_norm': 9.645583152770996, 'learning_rate': 0.00019549382716049386, 'epoch': 0.07}
{'loss': 3.8883, 'grad_norm': 14.476700782775879, 'learning_rate': 0.0001954320987654321, 'epoch': 0.07}
{'loss': 3.6994, 'grad_norm': 15.83546257019043, 'learning_rate': 0.00019537037037037038, 'epoch': 0.07}
{'loss': 3.2748, 'grad_norm': 7.5046706199646, 'learning_rate': 0.00019530864197530865, 'epoch': 0.07}
{'loss': 3.5709, 'grad_norm': 15.118308067321777, 'learning_rate': 0.00019524691358024693, 'epoch': 0.07}
{'loss': 4.4596, 'grad_norm': 14.749327659606934, 'learning_rate': 0.0001951851851851852, 'epoch': 0.07}
